decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,month,year,day,decade,lat_grid,lon_grid,phylum_enc,class_enc,order_enc,family_enc,taxonRank_enc,basisOfRecord_enc,season_enc,species_richness,TARGET_sighting_density
17.696129,73.520356,1000.0,10,2015,1,2010,17.7,73.5,2,12,8,40,6,2,1,7,73
17.399528,73.73859,1000.0,5,2013,5,2010,17.4,73.7,2,9,15,10,4,0,2,51,161
17.439728,73.711347,1500.0,1,2015,25,2010,17.4,73.7,2,0,2,19,4,3,3,51,388
17.552097,73.498781,1000.0,12,1961,19,1960,17.6,73.5,2,0,2,6,4,3,3,29,64
17.542688,73.533541,1000.0,1,2013,17,2010,17.5,73.5,1,1,3,17,0,0,3,37,128
17.386886,73.702951,200.0,12,2015,16,2010,17.4,73.7,2,0,2,6,4,3,3,51,503
17.752513,73.750279,209.0,6,1962,13,1960,17.8,73.8,2,10,23,15,4,0,0,9,8
17.70801,73.792739,1000.0,12,2022,10,2020,17.7,73.8,2,12,23,62,3,0,3,40,174
17.734316,73.813329,1000.0,9,2024,13,2020,17.7,73.8,2,12,8,40,6,2,0,40,181
17.5927,73.815483,500.0,10,2022,7,2020,17.6,73.8,2,10,23,0,4,0,1,37,165
17.740231,73.83839,1000.0,8,2012,7,2010,17.7,73.8,2,10,23,24,4,3,0,40,105
17.581618,73.834105,4151.0,2,2008,13,2000,17.6,73.8,1,1,17,7,4,0,3,37,7
17.540699,73.49109,1000.0,12,2008,19,2000,17.5,73.5,2,0,2,19,4,3,3,37,145
17.575161,73.81595,4157.0,1,2003,23,2000,17.6,73.8,2,10,23,15,4,0,3,37,127
17.571907,73.816152,1000.0,1,1962,7,1960,17.6,73.8,2,10,23,0,4,0,3,37,127
17.660222,73.808646,30716.0,4,2018,12,2010,17.7,73.8,2,10,23,24,4,0,2,40,59
17.705449,73.805713,1000.0,1,2023,30,2020,17.7,73.8,2,10,23,24,4,3,3,40,168
17.571086,73.475701,1000.0,8,2023,13,2020,17.6,73.5,2,0,2,19,4,3,0,29,37
17.523709,73.532094,1000.0,9,2022,1,2020,17.5,73.5,1,1,3,1,1,0,0,37,106
