lat_grid,lon_grid,day,month,year,decade,season_enc,coordinateUncertaintyInMeters,species_richness,order_enc,family_enc,class_enc,taxonRank_enc,basisOfRecord_enc,decimalLatitude,decimalLongitude,plant_sighting_density
17.4,73.7,24,9,2006,2000,3,549.0,112,15,23,0,2,0,17.384033,73.703358,941
17.8,73.8,24,9,2024,2020,3,549.0,34,19,46,1,2,4,17.764283,73.754475,205
17.7,73.8,17,10,2022,2020,3,356.0,232,3,52,1,2,0,17.722077,73.798605,6544
17.4,73.7,31,3,2025,2020,1,549.0,112,15,23,0,2,0,17.360049,73.700364,941
17.7,73.8,27,9,2024,2020,3,994.0,232,2,59,0,2,0,17.732782,73.825168,6544
17.7,73.8,9,10,2019,2010,3,993.0,232,3,11,1,2,0,17.726214,73.821084,6544
17.4,73.6,10,9,2011,2010,3,549.0,60,23,69,0,2,3,17.414342,73.572863,435
17.6,73.8,27,10,2021,2020,3,6627.0,81,14,0,1,2,0,17.631965,73.771218,884
17.4,73.6,20,12,2019,2010,0,549.0,60,23,69,0,2,3,17.418988,73.571569,435
17.7,73.8,18,10,2021,2020,3,298.0,232,10,12,1,2,0,17.714768,73.82723,6544
17.6,73.8,29,1,2020,2020,0,549.0,81,0,8,0,2,0,17.558971,73.820348,884
17.7,73.8,20,9,2023,2020,3,205.0,232,2,59,0,2,0,17.70937,73.80561,6544
17.4,73.6,17,9,2015,2010,3,549.0,60,23,69,0,2,3,17.393843,73.5901,435
17.4,73.6,1,9,2015,2010,3,5000.0,60,11,35,1,2,4,17.44141,73.637192,435
17.6,73.8,29,9,2018,2010,3,4151.0,81,2,59,0,2,0,17.581406,73.814994,884
17.4,73.7,11,7,2019,2010,2,549.0,112,17,34,1,2,0,17.409703,73.680457,941
17.7,73.8,12,9,2018,2010,3,3152.0,232,12,6,1,2,0,17.699717,73.794246,6544
17.6,73.5,1,11,2015,2010,3,6.0,10,26,53,1,2,0,17.573898,73.49803,44
17.7,73.8,24,3,2015,2010,1,122.0,232,23,69,0,2,0,17.716221,73.778191,6544
