coordinateUncertaintyInMeters,day,month,year,order_enc,family_enc,taxonRank_enc,basisOfRecord_enc,bird_sighting_density,decimalLatitude,decimalLongitude,lat_grid,lon_grid,decade,season_enc,species_richness
337.3333333333333,8,11,2020,15,48,1,0,1.0,17.726736,73.82293,17.7,73.8,2020,3,214
337.3333333333333,24,2,2021,13,71,1,0,5.0,17.726736,73.82293,17.7,73.8,2020,0,214
337.3333333333333,19,4,2024,13,43,1,0,6.0,17.545708,73.46855,17.5,73.5,2020,1,219
337.3333333333333,24,2,2021,17,53,1,0,2.0,17.726736,73.82293,17.7,73.8,2020,0,214
337.3333333333333,21,1,2024,13,38,1,0,1.0,17.602793,73.849236,17.6,73.8,2020,0,119
337.3333333333333,16,4,2024,0,0,1,0,2.0,17.540451,73.50046,17.5,73.5,2020,1,219
337.3333333333333,21,1,2024,13,29,1,0,50.0,17.40222,73.73936,17.4,73.7,2020,0,243
337.3333333333333,28,1,2024,0,0,1,0,1.0,17.389006,73.737785,17.4,73.7,2020,0,243
337.3333333333333,28,12,2020,13,54,1,0,2.0,17.389006,73.737785,17.4,73.7,2020,0,243
337.3333333333333,15,8,2020,13,14,1,0,1.0,17.507244,73.593765,17.5,73.6,2020,2,168
337.3333333333333,28,11,2021,3,70,1,0,1.0,17.708992,73.75199,17.7,73.8,2020,3,214
337.3333333333333,2,4,2019,13,38,1,0,1.0,17.542566,73.52142,17.5,73.5,2010,1,219
337.3333333333333,20,12,2024,8,35,1,0,3.0,17.534231,73.47867,17.5,73.5,2020,0,219
337.3333333333333,21,8,2022,13,29,1,0,2.0,17.401152,73.5448,17.4,73.5,2020,2,91
337.3333333333333,30,3,2024,7,17,1,0,1.0,17.324001,73.72256,17.3,73.7,2020,1,107
337.3333333333333,29,8,2021,14,8,0,0,3.0,17.528135,73.52597,17.5,73.5,2020,2,219
337.3333333333333,4,11,2024,7,17,1,0,2.0,17.533075,73.480286,17.5,73.5,2020,3,219
337.3333333333333,2,11,2024,13,31,1,0,4.0,17.389006,73.737785,17.4,73.7,2020,3,243
337.3333333333333,30,3,2024,13,16,1,0,1.0,17.349335,73.77036,17.3,73.8,2020,1,98
337.3333333333333,8,11,2020,13,43,1,0,1.0,17.726736,73.82293,17.7,73.8,2020,3,214
337.3333333333333,19,8,2020,13,33,1,0,8.0,17.507244,73.593765,17.5,73.6,2020,2,168
337.3333333333333,13,9,2017,13,3,1,0,2.0,17.603817,73.84843,17.6,73.8,2010,3,119
337.3333333333333,9,3,2024,2,7,1,0,6.0,17.389006,73.737785,17.4,73.7,2020,1,243
337.3333333333333,4,11,2024,7,17,1,0,1.0,17.540758,73.52389,17.5,73.5,2020,3,219
337.3333333333333,19,12,2021,13,54,1,0,1.0,17.449356,73.70625,17.4,73.7,2020,0,243
337.3333333333333,30,3,2024,4,12,1,0,1.0,17.36394,73.7692,17.4,73.8,2020,1,163
337.3333333333333,25,3,2024,7,17,1,0,3.0,17.3518,73.81198,17.4,73.8,2020,1,163
337.3333333333333,24,3,2024,13,11,1,0,1.0,17.389006,73.737785,17.4,73.7,2020,1,243
337.3333333333333,31,8,2024,13,40,1,0,1.0,17.405527,73.73813,17.4,73.7,2020,2,243
337.3333333333333,17,12,2023,7,17,1,0,1.0,17.389006,73.737785,17.4,73.7,2020,0,243
337.3333333333333,1,11,2023,13,22,1,0,2.0,17.338367,73.768,17.3,73.8,2020,3,98
337.3333333333333,26,11,2023,13,31,1,0,1.0,17.384584,73.65238,17.4,73.7,2020,3,243
337.3333333333333,26,11,2023,13,19,1,0,1.0,17.401634,73.6728,17.4,73.7,2020,3,243
337.3333333333333,17,8,2020,0,0,1,0,1.0,17.507244,73.593765,17.5,73.6,2020,2,168
337.3333333333333,6,2,2021,7,17,1,0,1.0,17.398296,73.74232,17.4,73.7,2020,0,243
337.3333333333333,26,11,2023,0,0,1,0,2.0,17.401634,73.6728,17.4,73.7,2020,3,243
337.3333333333333,23,8,2020,13,16,1,0,1.0,17.507761,73.5983,17.5,73.6,2020,2,168
337.3333333333333,16,3,2023,13,16,1,0,2.0,17.355566,73.76277,17.4,73.8,2020,1,163
337.3333333333333,30,3,2024,13,66,1,0,1.0,17.324001,73.72256,17.3,73.7,2020,1,107
337.3333333333333,8,11,2020,13,66,1,0,4.0,17.726736,73.82293,17.7,73.8,2020,3,214
337.3333333333333,7,10,2024,16,52,1,0,2.0,17.722063,73.81092,17.7,73.8,2020,3,214
337.3333333333333,21,8,2022,7,17,1,0,14.0,17.401152,73.5448,17.4,73.5,2020,2,91
337.3333333333333,7,1,2024,13,39,1,0,1.0,17.389006,73.737785,17.4,73.7,2020,0,243
337.3333333333333,28,9,2014,13,38,1,0,1.0,17.72487,73.82681,17.7,73.8,2010,3,214
337.3333333333333,27,12,2020,20,72,0,0,1.0,17.356668,73.7646,17.4,73.8,2020,0,163
337.3333333333333,24,3,2024,13,14,1,0,1.0,17.389006,73.737785,17.4,73.7,2020,1,243
337.3333333333333,7,4,2024,13,38,1,0,2.0,17.390808,73.73081,17.4,73.7,2020,1,243
337.3333333333333,31,12,2023,2,7,1,0,10.0,17.485449,73.51165,17.5,73.5,2020,0,219
337.3333333333333,9,3,2024,0,0,1,0,1.0,17.389006,73.737785,17.4,73.7,2020,1,243
337.3333333333333,19,2,2024,15,34,1,0,1.0,17.469702,73.464195,17.5,73.5,2020,0,219
337.3333333333333,24,2,2021,15,34,1,0,2.0,17.726736,73.82293,17.7,73.8,2020,0,214
337.3333333333333,21,5,2022,13,16,1,0,1.0,17.769136,73.7421,17.8,73.7,2020,1,181
337.3333333333333,9,2,2024,7,17,1,0,2.0,17.578789,73.4644,17.6,73.5,2020,0,204
337.3333333333333,14,2,2021,13,31,1,0,2.0,17.726736,73.82293,17.7,73.8,2020,0,214
337.3333333333333,30,3,2024,13,19,1,0,3.0,17.349335,73.77036,17.3,73.8,2020,1,98
337.3333333333333,26,11,2023,0,0,1,0,1.0,17.401634,73.6728,17.4,73.7,2020,3,243
337.3333333333333,24,3,2024,13,54,1,0,1.0,17.355341,73.763374,17.4,73.8,2020,1,163
337.3333333333333,30,3,2024,7,17,1,0,1.0,17.324001,73.72256,17.3,73.7,2020,1,107
337.3333333333333,12,3,2024,13,67,1,0,2.0,17.389006,73.737785,17.4,73.7,2020,1,243
337.3333333333333,29,7,2024,7,17,1,0,1.0,17.5259,73.525406,17.5,73.5,2020,2,219
337.3333333333333,24,2,2021,13,44,1,0,2.0,17.726736,73.82293,17.7,73.8,2020,0,214
337.3333333333333,15,8,2020,13,16,1,0,3.0,17.507244,73.593765,17.5,73.6,2020,2,168
337.3333333333333,30,10,2023,13,11,1,0,2.0,17.35258,73.76443,17.4,73.8,2020,3,163
337.3333333333333,30,5,2024,7,17,1,0,1.0,17.485153,73.46413,17.5,73.5,2020,1,219
337.3333333333333,28,9,2014,13,31,1,0,10.0,17.722378,73.82508,17.7,73.8,2010,3,214
